"OPPORTUNITY_ZONE_FIPS","LOCALE_FIPS_CODE","ZONE_TYPE","PERCENT_BLACK_OR_AFRICAN_AMERICAN","PERCENT_AMERICAN_INDIAN_OR_ALASKA_NATIVE","PERCENT_ASIAN","PERCENT_NATIVE_HAWAIIAN_OR_PACIFIC","PERCENT_TWO_OR_MORE_RACES","PERCENT_WHITE","PERCENT_HISPANIC_OR_LATINO","PERCENT_OTHER_RACES","PERCENT_BELOW_10_YOA","PERCENT_10_TO_64_YOA","PERCENT_64_PLUS_YOA","TOTAL_THRESHOLD_CRITERIA_EXCEEDED","TOTAL_CATEGORIES_EXCEEDED","DISADVANTAGED_WITHOUT_CONSIDERING_NEIGHBORS","DISADVANTAGED_BASED_ON_NEIGHBORS_AND_RELAXED_LOW_INCOME_THRESHOLD_ONLY","DISADVANTAGED_DUE_TO_TRIBAL_OVERLAP","DISADVANTAGED","PERCENTAGE_DISADVANTAGED_BY_AREA","PERCENT_NEIGHBORS_DISADVANTAGED","TOTAL_POPULATION","PERCENTILE_BELOW_200_PERCENT_FEDERAL_POVERTY_LINE","PERCENT_BELOW_200_PERCENT_FEDERAL_POVERTY_LINE","LOW_INCOME","INCOME_ESTIMATED_ON_NEIGHBOR_INCOME","GTET_90_PERCENTILE_EXPECTED_AGRICULTURE_LOSS_RATE_AND_LOW_INCOME","PERCENTILE_EXPECTED_AGRICULTURAL_LOSS_RATE","EXPECTED_AGRICULTURAL_LOSS_RATE","GTET_90_PERCENTILE_EXPECTED_BUILDING_LOSS_RATE_AND_LOW_INCOME","PERCENTILE_EXPECTED_BUILDING_LOSS_RATE","EXPECTED_BUILDING_LOSS_RATE","GTET_90_PERCENTILE_EXPECTED_POPULATION_LOSS_RATE_AND_LOW_INCOME","PERCENTILE_EXPECTED_POPULATION_LOSS_RATE","EXPECTED_POPULATION_LOSS_RATE","PERCENTILE_PROPERTIES_AT_RISK_OF_FLOOD_IN_30_YEARS","PERCENT_PROPERTIES_AT_RISK_OF_FLOOD_IN_30_YEARS","GTET_90_PERCENTILE_PROPERTIES_AT_RISK_OF_FLOOD_IN_30_YEARS","GTET_90_PERCENTILE_PROPERTIES_AT_RISK_OF_FLOOD_IN_30_YEARS_AND_LOW_INCOME","PERCENTILE_PROPERTIES_AT_RISK_OF_FIRE_IN_30_YEARS","PERCENT_PROPERTIES_AT_RISK_OF_FIRE_IN_30_YEARS","GTET_90_PERCENTILE_PROPERTIES_AT_RISK_OF_FIRE_IN_30_YEARS","GTET_90_PERCENTILE_PROPERTIES_AT_RISK_OF_FIRE_IN_30_YEARS_AND_LOW_INCOME","GTET_90_PERCENTILE_ENERGY_BURDEN_AND_LOW_INCOME","PERCENTILE_ENERGY_BURDEN","ENERGY_BURDEN","GTET_90_PERCENTILE_PM25_EXPOSURE_AND_LOW_INCOME","PERCENTILE_AIRBORNE_PM25","AIRBORNE_PM25","GTET_90_PERCENTILE_DIESEL_PARTICULATE_MATTER_AND_LOW_INCOME","PERCENTILE_DIESEL_PARTICULATE_MATTER_EXPOSURE","DIESEL_PARTICULATE_MATTER_EXPOSURE","GTET_90_PERCENTILE_TRAFFIC_PROXIMITY_AND_LOW_INCOME","PERCENTILE_TRAFFIC_PROXIMITY_AND_VOLUME","TRAFFIC_PROXIMITY_AND_VOLUME","GTET_90_PERCENTILE_FOR_DOT_TRANSIT_BARRIERS_AND_LOW_INCOME","PERCENTILE_DOT_TRAVEL_BARRIERS_SCORE","GTET_90_PERCENTILE_HOUSING_BURDEN_AND_LOW_INCOME","PERCENTILE_HOUSING_BURDEN","PERCENT_HOUSING_BURDEN","GTET_90_PERCENTILE_FOR_LEAD_PAINT","MEDIAN_HOUSE_VALUE_BELOW_90_PERCENTILE_AND_LOW_INCOME","PERCENTILE_PRE_1960S_HOUSING","PERCENT_PRE_1960S_HOUSING","PERCENTILE_MEDIAN_VALUE_OWNER_OCCUPIED_HOUSING_UNITS","MEDIAN_DOLLAR_VALUE_OWNER_OCCUPIED_HOUSING_UNITS","GTET_90_PERCENTILE_LAND_AREA_IMPERVIOUS_SURFACE_OR_CROPLAND_AND_LOW_INCOME","GTET_90_PERCENTILE_LAND_AREA_IMPERVIOUS_SURFACE_OR_CROPLAND","PERCENT_LAND_AREA_IMPERVIOUS_SURFACE_OR_CROPLAND","PERCENTILE_LAND_AREA_IMPERVIOUS_SURFACE_OR_CROPLAND","AREA_GTET_35_ACRES","HISTORIC_UNDERINVESTMENT_AND_LOW_INCOME","HISTORIC_UNDERINVESTMENT","PERCENTILE_HOMES_NO_KITCHEN_NO_INDOOR_PLUMBING","PERCENT_HOMES_NO_KITCHEN_NO_INDOOR_PLUMBING","GTET_90_PERCENTILE_PROXIMITY_TO_HAZARDOUS_WASTE_FACILITIES_AND_LOW_INCOME","PERCENTILE_PROXIMITY_TO_HAZARDOUS_WASTE_SITES","PROXIMITY_TO_HAZARDOUS_WASTE_SITES","GTET_90_PERCENTILE_PROXIMITY_TO_SUPERFUND_SITES_AND_LOW_INCOME","PERCENTILE_PROXIMITY_TO_SUPERFUND_SITES","PROXIMITY_TO_SUPERFUND_SITES","GTET_90_PERCENTILE_PROXIMITY_TO_RISK_MANAGEMENT_PLAN_SITES_AND_LOW_INCOME","PERCENTILE_PROXIMITY_TO_RISK_MANAGEMENT_PLAN_FACILITIES","PROXIMITY_TO_RISK_MANAGEMENT_PLAN_FACILITIES","FORMERLY_USED_DEFENSE_SITE_IN_TRACT","ABANDONED_MINE_IN_TRACT","ABANDONED_MINE_IN_TRACT_AND_LOW_INCOME","FORMERLY_USED_DEFENSE_SITE_IN_TRACT_AND_LOW_INCOME","FORMERLY_USED_DEFENSE_SITE_IN_TRACT_MISSING_DATA_EQUALS_FALSE","ABANDONED_MINE_IN_TRACT_MISSING_DATA_EQUALS_FALSE","GTET_90_PERCENTILE_WASTEWATER_DISCHARGE_AND_LOW_INCOME","PERCENTILE_WASTEWATER_DISCHARGE","WASTEWATER_DISCHARGE","GTET_90_PERCENTILE_LEAKY_UNDERGROUND_STORAGE_TANKS_AND_LOW_INCOME","PERCENTILE_LEAKY_UNDERGROUND_STORAGE_TANKS","LEAKY_UNDERGROUND_STORAGE_TANKS","GTET_90_PERCENTILE_ASTHMA_AND_LOW_INCOME","PERCENTILE_ASTHMA_GTET_18_YOA","PERCENT_ASTHMA_GTET_18_YOA","GTET_90_PERCENTILE_FOR_DIABETES_AND_LOW_INCOME","PERCENTILE_DIAGNOSED_DIABETES_GTET_18_YOA","DIAGNOSED_DIABETES_GTET_18_YOA","GTET_90_PERCENTILE_HEART_DISEASE_AND_LOW_INCOME","PERCENTILE_CORONARY_HEART_DISEASE_GTET_18_YOA","PERCENT_CORONARY_HEART_DISEASE_GTET_18_YOA","GTET_90_PERCENTILE_LOW_LIFE_EXPECTANCY_AND_LOW_INCOME","PERCENTILE_LOW_LIFE_EXPECTANCY","LIFE_EXPECTANCY_YEARS","GTET_THE_90_PERCENTILE_FOR_LOW_MEDIAN_INCOME_AS_PERCENT_OF_AREA_MEDIAN_AND_LOW_HS_ATTAINMENT","PERCENTILE_LOW_MEDIAN_INCOME_AS_PERCENT_AREA_MEDIAN_INCOME","MEDIAN_INCOME_AS_PERCENT_OF_AREA_MEDIAN","GTET_THE_90_PERCENTILE_HOUSEHOLDS_IN_LINGUISTIC_ISOLATION_AND_LOW_HS_ATTAINMENT","PERCENTILE_LINGUISTIC_ISOLATION","PERCENT_LINGUISTIC_ISOLATION","GTET_90_PERCENTILE_UNEMPLOYMENT_AND_LOW_HS","PERCENTILE_UNEMPLOYMENT","PERCENT_UNEMPLOYMENT","GTET_90_PERCENTILE_HOUSEHOLDS_BELOW_100_PERCENT_FEDERAL_POVERTY_LEVEL_AND_LOW_HS_ATTAINMENT","PERCENTILE_BELOW_200_PERCENT_FEDERAL_POVERTY_LINE","PERCENT_BELOW_200_PERCENT_FEDERAL_POVERTY_LINE","PERCENTILE_BELOW_100_PERCENT_FEDERAL_POVERTY_LINE","PERCENT_BELOW_100_PERCENT_FEDERAL_POVERTY_LINE","PERCENTILE_AGE_25_PLUS_LESS_THAN_HIGH_SCHOOL","PERCENT_AGE_25_PLUS_LESS_THAN_HIGH_SCHOOL","PERCENT_RESIDENTS_NOT_CURRENTLY_ENROLLED_IN_HIGHER_ED","UNEMPLOYMENT_PERCENT_ISLAND_AREAS_AND_STATES_AND_PR","PERCENTAGE_HOUSEHOLDS_BELOW_100_PERCENT_OF_FEDERAL_POVERTY_LINE_ISLAND_AREAS_AND_STATES_AND_PR","GTET_90_PERCENTILE_FOR_UNEMPLOYMENT_AND_LOW_HS_EDUCATION_ISLAND_AREAS","GTET_90_PERCENTILE_BELOW_100_PERCENT_FEDERAL_POVERTY_LEVEL_AND_LOW_HS_EDUCATION_ISLAND_AREAS","GTET_90_PERCENTILE_LOW_AREA_MEDIAN_HOUSEHOLD_INCOME_AND_LOW_HS_EDUCATION_ISLAND_AREAS","NUMBER_OF_TRIBAL_AREAS_ALASKA","NAMES_TRIBAL_AREAS","PERCENT_WITHIN_TRIBAL_AREAS"
"01001020700","020700","LOW_INCOME_COMMUNITY","0.2","0.0","0.0","0.0","0.04","0.67","0.06","0.0","0.12","0.75","0.11","0","0.0","False","False","","False","0","12.0","3586.0","0.81","0.42","True","False","False","74.0","0.52","False","61.0","0.0208","False","72.0","0.0004","71.0","12.0","False","False","71.0","2.0","False","False","False","72.0","3.0","False","69.0","9.22","False","47.0","0.23","False","50.0","296.97","False","30.0","False","73.0","31.0","False","23.0","6.0","9.0","82400.0","False","False","2240.0","28.0","True","False","","0.21","0.0","False","63.0","1.55","False","67.0","0.1","False","18.0","0.11","","","False","False","False","False","False","36.0","0.0","False","48.0","1.67","False","83.0","1110.0","False","79.0","1350.0","False","79.0","770.0","False","","","False","58.0","86.0","False","42.0","1.0","False","86.0","9.0","False","83.0","52.0","86.0","27.0","84.0","22.0","90.0","1.0","16.0","False","False","False","","","",""
"01003010200","010200","LOW_INCOME_COMMUNITY","0.07","0.02","0.0","0.0","0.01","0.89","0.0","0.0","0.15","0.67","0.17","2","2.0","True","False","","True","100","42.0","3158.0","0.86","0.48","True","False","False","79.0","0.6917","False","75.0","0.0352","False","49.0","0.0002","61.0","9.0","False","False","88.0","85.0","False","False","False","59.0","3.0","False","47.0","8.49","False","18.0","0.11","False","13.0","26.82","True","99.0","False","62.0","26.0","False","33.0","12.0","30.0","136900.0","False","False","197.0","3.0","True","False","","0.64","0.0","False","28.0","0.19","False","29.0","0.03","False","3.0","0.03","","","False","False","False","False","False","53.0","0.0","False","17.0","0.15","False","68.0","1030.0","False","77.0","1320.0","False","85.0","830.0","True","90.0","72.9","False","71.0","74.0","False","12.0","0.0","False","68.0","6.0","False","80.0","49.0","71.0","18.0","65.0","13.0","98.0","3.0","5.0","False","False","False","","","",""
"01003010400","010400","NON_LIC_CONTIGUOUS","0.07","0.01","0.0","0.0","0.02","0.86","0.01","0.0","0.16","0.69","0.14","0","0.0","False","False","","False","0","22.0","5181.0","0.6","0.28","False","False","False","81.0","0.8235","False","78.0","0.0401","False","50.0","0.0002","62.0","9.0","False","False","88.0","85.0","False","False","False","59.0","3.0","False","44.0","8.39","False","18.0","0.11","False","17.0","42.1","False","86.0","False","16.0","13.0","False","28.0","9.0","35.0","149200.0","False","False","391.0","6.0","True","False","","0.7","0.01","False","25.0","0.15","False","27.0","0.02","False","6.0","0.05","False","","False","False","False","False","False","60.0","0.0","False","13.0","0.09","False","43.0","940.0","False","53.0","1070.0","False","66.0","680.0","False","73.0","76.0","False","37.0","105.0","False","12.0","0.0","False","18.0","2.0","False","52.0","31.0","44.0","10.0","75.0","17.0","97.0","5.0","14.0","False","False","False","","","",""
"01003010500","010500","LOW_INCOME_COMMUNITY","0.12","0.0","0.0","0.0","0.01","0.85","0.0","0.0","0.09","0.69","0.2","0","0.0","False","False","","False","0","50.0","5463.0","0.53","0.24","False","False","False","68.0","0.3713","False","52.0","0.0155","False","43.0","0.0001","71.0","12.0","False","False","93.0","96.0","True","False","False","54.0","3.0","False","50.0","8.6","False","28.0","0.15","False","47.0","260.92","False","72.0","False","26.0","16.0","False","51.0","26.0","35.0","148500.0","False","False","1386.0","17.0","True","False","","0.75","0.01","False","47.0","0.68","False","36.0","0.04","False","4.0","0.04","","","False","False","False","False","False","64.0","0.0","False","44.0","1.41","False","35.0","910.0","False","58.0","1110.0","False","69.0","700.0","False","55.0","78.0","False","40.0","103.0","False","12.0","0.0","False","16.0","2.0","False","47.0","28.0","53.0","12.0","52.0","10.0","95.0","9.0","6.0","False","False","False","","","",""
"01003010600","010600","LOW_INCOME_COMMUNITY","0.62","0.0","0.0","0.0","0.01","0.3","0.05","0.02","0.15","0.72","0.12","6","4.0","True","False","","True","100","0.0","3730.0","0.93","0.57","True","False","False","76.0","0.5785","False","50.0","0.0143","False","43.0","0.0001","47.0","7.0","False","False","92.0","94.0","True","True","True","90.0","5.0","False","50.0","8.58","False","24.0","0.13","False","53.0","333.03","False","76.0","False","62.0","26.0","False","30.0","10.0","18.0","104700.0","False","False","1547.0","19.0","True","False","","0.65","0.0","False","36.0","0.32","False","34.0","0.03","False","4.0","0.03","","","False","False","False","False","False","59.0","0.0","False","47.0","1.58","True","91.0","1200.0","True","91.0","1630.0","False","80.0","780.0","True","94.0","71.8","False","84.0","61.0","False","12.0","0.0","False","68.0","6.0","True","89.0","59.0","90.0","32.0","92.0","29.0","98.0","8.0","35.0","False","False","False","","","",""
"01003011501","011501","NON_LIC_CONTIGUOUS","0.09","0.0","0.01","0.0","0.0","0.78","0.09","0.04","0.06","0.7","0.22","0","0.0","False","False","","False","0","50.0","6931.0","0.57","0.26","False","False","False","79.0","0.7171","False","50.0","0.0143","False","28.0","0.0001","50.0","7.0","False","False","82.0","57.0","False","False","False","61.0","3.0","False","36.0","8.1","False","30.0","0.16","False","40.0","193.82","False","21.0","False","55.0","24.0","False","30.0","10.0","40.0","163000.0","False","False","4342.0","57.0","True","False","","0.48","0.0","False","56.0","1.12","False","23.0","0.02","False","10.0","0.07","","","False","False","False","False","False","75.0","0.02","False","50.0","1.84","False","29.0","890.0","False","74.0","1270.0","False","89.0","869.0","False","50.0","78.5","False","55.0","89.0","False","53.0","1.0","False","45.0","4.0","False","52.0","31.0","58.0","13.0","36.0","7.0","95.0","3.0","20.0","False","False","False","","","",""
"01003011502","011502","LOW_INCOME_COMMUNITY","0.12","0.0","0.01","0.0","0.01","0.76","0.09","0.01","0.1","0.69","0.19","1","1.0","True","False","","True","100","0.0","12957.0","0.8","0.41","True","False","False","43.0","0.0699","False","50.0","0.0142","False","30.0","0.0001","51.0","7.0","False","False","86.0","77.0","False","False","False","63.0","3.0","False","34.0","8.0","False","32.0","0.16","False","33.0","133.83","False","76.0","False","73.0","31.0","False","20.0","5.0","47.0","180400.0","False","False","3402.0","43.0","True","False","","0.21","0.0","False","40.0","0.43","False","25.0","0.02","False","16.0","0.1","True","","False","True","True","False","False","73.0","0.02","False","40.0","1.11","False","40.0","930.0","False","68.0","1200.0","False","75.0","740.0","False","75.0","75.7","False","58.0","86.0","False","68.0","3.0","False","47.0","4.0","False","74.0","44.0","51.0","11.0","70.0","15.0","96.0","4.0","22.0","False","False","False","","","",""
"01005950100","950100","LOW_INCOME_COMMUNITY","0.47","0.0","0.01","0.0","0.0","0.5","0.0","0.0","0.13","0.64","0.21","2","2.0","True","True","","True","100","100.0","3091.0","0.84","0.45","True","False","False","87.0","1.2133","False","54.0","0.0167","False","78.0","0.0005","73.0","13.0","False","False","78.0","33.0","False","False","False","86.0","4.0","False","54.0","8.69","False","7.0","0.07","False","24.0","75.65","False","69.0","False","51.0","23.0","False","28.0","9.0","13.0","89800.0","False","False","690.0","9.0","True","False","","0.47","0.0","False","2.0","0.02","False","9.0","0.01","False","15.0","0.09","","","False","False","False","False","False","55.0","0.0","False","20.0","0.23","False","82.0","1100.0","True","94.0","1789.0","False","89.0","869.0","False","75.0","75.7","False","69.0","77.0","False","66.0","3.0","True","94.0","14.0","False","83.0","52.0","87.0","29.0","74.0","17.0","93.0","7.0","21.0","False","False","False","","","",""
"01007010002","010002","LOW_INCOME_COMMUNITY","0.07","0.0","0.0","0.0","0.0","0.88","0.04","0.0","0.09","0.75","0.14","3","3.0","True","False","","True","100","16.0","5694.0","0.72","0.36","True","False","False","69.0","0.3922","False","75.0","0.0359","False","83.0","0.0006","51.0","7.0","False","False","80.0","43.0","False","False","False","88.0","5.0","False","69.0","9.23","False","20.0","0.12","False","14.0","32.66","True","95.0","False","30.0","17.0","False","32.0","11.0","18.0","104500.0","False","False","232.0","3.0","True","False","","0.48","0.0","False","26.0","0.16","False","18.0","0.01","False","7.0","0.06","","True","True","False","False","True","False","23.0","0.0","False","26.0","0.44","False","60.0","1000.0","False","65.0","1170.0","False","69.0","700.0","False","84.0","74.4","False","49.0","93.0","False","27.0","0.0","True","90.0","11.0","False","65.0","39.0","71.0","18.0","74.0","16.0","96.0","3.0","9.0","False","False","False","","","",""
"01009050500","050500","LOW_INCOME_COMMUNITY","0.0","0.0","0.0","0.0","0.02","0.87","0.1","0.01","0.12","0.71","0.15","1","1.0","True","False","","True","100","75.0","7840.0","0.74","0.37","True","False","False","70.0","0.4073","False","77.0","0.0391","False","86.0","0.0007","70.0","12.0","False","False","69.0","0.0","False","False","False","83.0","4.0","False","58.0","8.86","False","19.0","0.11","False","10.0","17.93","True","96.0","False","19.0","14.0","False","46.0","21.0","32.0","141800.0","False","False","823.0","11.0","True","False","","0.55","0.0","False","10.0","0.05","False","25.0","0.02","False","36.0","0.2","","","False","False","False","False","False","64.0","0.0","False","13.0","0.08","False","63.0","1010.0","False","75.0","1280.0","False","82.0","800.0","False","75.0","75.7","False","60.0","84.0","False","51.0","1.0","False","45.0","4.0","False","66.0","39.0","54.0","12.0","74.0","16.0","97.0","7.0","12.0","False","False","False","","","",""
