"COUNTY_FIPS","OPPORTUNITY_ZONE_FIPS"
"01001","01001020700"
"01003","01003010200"
"01003","01003010400"
"01003","01003010500"
"01003","01003010600"
"01003","01003011501"
"01003","01003011502"
"01005","01005950100"
"01007","01007010002"
"01009","01009050500"
"01011","01011952200"
"01013","01013952800"
"01015","01015000700"
"01015","01015000800"
"01015","01015002101"
"01017","01017954300"
"01019","01019955900"
"01021","01021060102"
"01023","01023956800"
"01025","01025957902"
"01027","01027959000"
"01029","01029959600"
"01031","01031010900"
"01033","01033020200"
"01035","01035960400"
"01037","01037961000"
"01039","01039962000"
"01039","01039962700"
"01041","01041963700"
"01043","01043964800"
"01043","01043965000"
"01045","01045020700"
"01047","01047956500"
"01049","01049960900"
"01051","01051031000"
"01051","01051031300"
"01053","01053970400"
"01055","01055001200"
"01057","01057020300"
"01059","01059973700"
"01061","01061050300"
"01063","01063060200"
"01065","01065040400"
"01067","01067030200"
"01069","01069041500"
"01071","01071950600"
"01073","01073000100"
"01073","01073000300"
"01073","01073000400"
"01073","01073000500"
"01073","01073000700"
"01073","01073000800"
"01073","01073001200"
"01073","01073001400"
"01073","01073001500"
"01073","01073001600"
"01073","01073001902"
"01073","01073002200"
"01073","01073002303"
"01073","01073002400"
"01073","01073002700"
"01073","01073002900"
"01073","01073003001"
"01073","01073003002"
"01073","01073003200"
"01073","01073003900"
"01073","01073004200"
"01073","01073004500"
"01073","01073010200"
"01073","01073011209"
"01073","01073011705"
"01073","01073012002"
"01073","01073012701"
"01073","01073013100"
"01075","01075030100"
"01077","01077010100"
"01077","01077010900"
"01079","01079979100"
"01081","01081040200"
"01081","01081040300"
"01081","01081040604"
"01081","01081040700"
"01081","01081040800"
"01081","01081041100"
"01081","01081041300"
"01083","01083020201"
"01083","01083020600"
"01083","01083020700"
"01085","01085780800"
"01087","01087231500"
"01087","01087231603"
"01087","01087232200"
"01089","01089000201"
"01089","01089000202"
"01089","01089001301"
"01089","01089001402"
"01089","01089001500"
"01089","01089002100"
"01089","01089002501"
"01089","01089003000"
"01089","01089003100"
"01089","01089010622"
"01091","01091972900"
"01093","01093964400"
"01093","01093964500"
"01095","01095030100"
"01097","01097000200"
"01097","01097000401"
"01097","01097000600"
"01097","01097001002"
"01097","01097001200"
"01097","01097001302"
"01097","01097001400"
"01097","01097001501"
"01097","01097001502"
"01097","01097002600"
"01097","01097002800"
"01097","01097003402"
"01097","01097006403"
"01097","01097007400"
"01099","01099076000"
"01101","01101000100"
"01101","01101000200"
"01101","01101000300"
"01101","01101000500"
"01101","01101000600"
"01101","01101001000"
"01101","01101001100"
"01101","01101002100"
"01101","01101002900"
"01101","01101005603"
"01101","01101005902"
"01101","01101006000"
"01103","01103000100"
"01105","01105687000"
"01107","01107050100"
"01109","01109189100"
"01111","01111000500"
"01113","01113030200"
"01115","01115040203"
"01117","01117030703"
"01119","01119011300"
"01121","01121010900"
"01123","01123962300"
"01125","01125010403"
"01125","01125010404"
"01125","01125011600"
"01125","01125011701"
"01125","01125011800"
"01125","01125012100"
"01125","01125012303"
"01125","01125012405"
"01125","01125012600"
"01125","01125012800"
"01127","01127020400"
"01129","01129044200"
"01131","01131035100"
"01133","01133965700"
"02013","02013000100"
"02016","02016000100"
"02020","02020000300"
"02020","02020000600"
"02020","02020000702"
"02020","02020000703"
"02020","02020001000"
"02020","02020001900"
"02020","02020002000"
"02050","02050000300"
"02090","02090000100"
"02090","02090000200"
"02090","02090001100"
"02100","02100000100"
"02105","02105000300"
"02122","02122000100"
"02170","02170000401"
"02170","02170000701"
"02180","02180000100"
"02185","02185000200"
"02188","02188000100"
"02198","02198000100"
"02198","02198940100"
"02275","02275000300"
"02290","02290000200"
